MUSYM,Index,Year,Sheet_ID,Date,Date_survey_started,Survey,No,Time,Y,X,SVL_mm,Color,Nuptial_Pads,gravid,Sex,Adjusted_sex,Mass,COMMENTS,LOCAL_NAME,FORM_NAME,ALLIAN_SCI,ALLIAN_ENG,ASSOC_SCI,AREASYMBOL,MUKEY,Soil_description,Top_layer,Middle_layer,Parent_material,Drainage,Hydric_soil_group,Hydric_soil,lineOrig,Dist_to_breeding_pool,Dist_to_wetland,Dist_to_meadow
29B,1090,2017,SCTR-11-MAY-2017-02,11-May-17,11-May-17,1,67,2330,4118448,364700,34.8,G,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,870,452.6751001,165.1968392,518.2569846
29B,1873,2017,SCTR-18-MAY-2017-03,18-May-17,18-May-17,5,11,2138,4119295,364597,52.8,Y,Y,N,M,M,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,871,86.22987479,264.1685752,20.5605295
29B,1092,2017,SCTR-11-MAY-2017-02,11-May-17,11-May-17,1,69,2332,4118452,364703,40.3,GY,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,872,451.4157913,166.4465046,514.7828838
29B,1093,2017,SCTR-11-MAY-2017-02,11-May-17,11-May-17,1,70,2339,4118459,364722,38.5,G,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,873,458.286417,182.045166,495.0978769
29B,1094,2017,SCTR-11-MAY-2017-02,11-May-17,11-May-17,1,71,2340,4118470,364733,38.8,G,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,874,457.5328289,189.7743578,483.0369372
29B,1877,2017,SCTR-18-MAY-2017-03,18-May-17,18-May-17,5,15,2144,4119269,364598,52.8,Y,Y,N,M,M,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,875,103.603768,289.9466447,0.001375737
29B,1635,2017,SCTR-17-May-2017-01,17-May-17,17-May-17,4,34,2333,4118437,365324,54.4,Y,Y,N,M,M,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,876,434.0626058,130.3499034,24.76049715
29B,1879,2017,SCTR-18-MAY-2017-03,18-May-17,18-May-17,5,17,2146,4119269,364578,47.9,DY,N,Y,F,F,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,877,117.5364352,286.7927168,14.41386199
29B,1637,2017,SCTR-17-May-2017-01,17-May-17,17-May-17,4,36,2338,4118424,365386,39.8,G,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,878,373.8550639,193.665702,21.88267537
29B,1638,2017,SCTR-17-May-2017-01,17-May-17,17-May-17,4,37,2340,4118428,365375,43.6,DY,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,879,384.2545111,182.1379329,20.51603112
29B,1518,2017,SCTR-16-MAY-2017-02,17-May-17,16-May-17,3,98,115,4119712,364662,42.4,G,N,N,SNBA,S,,,Mesic Mixed Hardwood Forest,Lowland or submontane cold-deciduous forest,Fagus grandifolia - Quercus rubra - Quercus alba Forest Alliance,American Beech - Northern Red Oak - White Oak Forest Alliance,"Fagus grandifolia - Quercus (alba, rubra) - Liriodendron tulipifera / (Ilex opaca var. opaca) / Polystichum acrostichoides Forest",VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,880,111.3834139,11.72267062,19.1010704
29B,1101,2017,SCTR-11-MAY-2017-02,11-May-17,11-May-17,1,78,2353,4118432,364773,54.5,DY,N,Y,F,F,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,881,512.6346323,239.0043658,448.6084389
29B,1103,2017,SCTR-11-MAY-2017-02,11-May-17,11-May-17,1,80,2356,4118462,364797,35.7,G,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,882,508.8514614,254.0065127,420.2658371
29B,1104,2017,SCTR-11-MAY-2017-02,11-May-17,11-May-17,1,81,2359,4118455,364818,49.9,GY,N,N,SNBA,NBA,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,883,529.1950453,234.023883,400.4126218
29B,1105,2017,SCTR-11-MAY-2017-02,11-May-17,11-May-17,1,82,1,4118455,364825,39.5,G,N,N,SNBA,S,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,884,534.483073,227.0670117,393.4909908
29B,1887,2017,SCTR-18-MAY-2017-03,18-May-17,18-May-17,5,25,2201,4119256,364570,45.3,Y,Y,N,M,M,,FAINT+,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,885,132.2690269,298.825689,11.16562169
29B,1766,2017,SCTR-17-MAY-2017-03,18-May-17,17-May-17,4,89,100,4118368,366095,44.5,Y,Y,N,M,M,,,Successional Tuliptree - Loblolly Pine Forest,Lowland or submontane cold-deciduous forest,Liriodendron tulipifera Forest Alliance,Tuliptree Forest Alliance,Liriodendron tulipifera - Pinus taeda Forest,VA695,120821,"Slagle fine sandy loam, 2 to 6 percent slopes",fine sandy loam,sandy clay loam,marine deposits,moderately well drained,C,No,886,132.4186386,503.0048402,27.33930499
